# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.857251714503429,3.29,0.0005437468253420012,0,3.0,0.001534481366421315,0.0,0.0,0.0
 0.08966772100916538,1.8693121647893522,3.2900001144557525,0.0005437468253420012,0.2690031630274961,2.9999999999999996,0.001534481366421315,0.0,0.028449228766763295,0.0
 0.1271250162161101,1.8814928691200001,3.2900004565988836,0.0016093779856685582,0.3813750486483303,2.9999999999999996,0.0014778603848871175,0.0,0.0357960941397814,0.0
 0.15607934567546677,1.893792857704689,3.290001024593206,0.0026458298887499353,0.46823803702640027,3.0,0.0014239776106146778,0.0,0.041014987137503595,0.0
 0.18066441504075248,1.906211160752736,3.2900018166025298,0.0036541861925417623,0.5419932451222574,3.000000000000002,0.0013726692039651952,0.0,0.044988393699900465,0.0
 0.20247649090659597,1.9187468084734571,3.2900028307906672,0.004635476449006427,0.6074294727197879,2.9999999999999973,0.0013237799111182808,0.0,0.04810828734679872,0.0
 0.22233175919140347,1.93139883107617,3.2900040653214297,0.005590679400999725,0.6669952775742103,2.9999999999999973,0.0012771573749720396,0.0,0.05059599155769059,0.0
 0.24071358429250958,1.9441662587701907,3.2900055183586283,0.006520726068630235,0.7221407528775287,3.0000000000000013,0.001232688930340862,0.0,0.05259313266069342,0.0
 0.2579359191702176,1.9570481217648363,3.290007188066075,0.007426502611580419,0.7738077575106526,2.999999999999995,0.00119023807238354,0.0,0.05419769355601463,0.0
 0.27421613888623214,1.9700434502694237,3.290009072607581,0.008308852970773564,0.8226484166586964,3.0000000000000067,0.0011496808602304536,0.0,0.05548117706466382,0.0
 0.28971199564415895,1.9831512744932693,3.2900111701469577,0.009168581343328768,0.869135986932477,3.0000000000000107,0.0011109114128828536,0.0,0.056497815150970666,0.0
 0.30454218206372735,1.99637062464569,3.2900134788480164,0.01000645447431598,0.9136265461911822,3.0000000000000036,0.001073853268343307,0.0,0.057289954708725846,0.0
 0.3187985963084381,2.0097005309360028,3.2900159968745686,0.010823203800704293,0.9563957889253144,2.999999999999996,0.0010383822106378054,0.0,0.05789141683126068,0.0
 0.3325540662070181,2.0231400235735237,3.2900187223904265,0.011619527442312847,0.9976621986210544,3.0,0.0010044305770732893,0.0,0.05832970149428371,0.0
 0.3458674311903928,2.0366881327675697,3.2900216535594007,0.012396092047677542,1.0376022935711786,3.000000000000004,0.0009719043198421403,0.0,0.058627498707529625,0.0
 0.35878700855066586,2.050343888727458,3.2900247885453027,0.01315353455266878,1.0763610256519978,3.0,0.0009407444453826635,0.0,0.0588037532188197,0.0
 0.371353030234669,2.0641063216625053,3.290028125511945,0.013892463790717235,1.114059090704007,3.0,0.0009108647443700887,0.0,0.058874440870067817,0.0
 0.38359940056201386,2.077974461782028,3.290031662623137,0.014613461996427456,1.1507982016860419,3.000000000000009,0.0008821910615692958,0.0,0.058853150975619856,0.0
 0.395554992535737,2.0919473392953423,3.290035398042692,0.015317086255859893,1.1866649776072113,3.0000000000000044,0.0008546733611420068,0.0,0.058751521772171786,0.0
 0.40724462251041244,2.106023984411766,3.2900393299344217,0.016003869805825667,1.2217338675312375,2.999999999999986,0.0008282509641030767,0.0,0.058579584181310825,0.0
 0.41868979557247143,2.1202034273406154,3.290043456462136,0.016674323284684225,1.2560693867174144,2.999999999999995,0.0008028698053492836,0.0,0.05834603143389133,0.0
 0.4299092842128072,2.134484698291207,3.290047775789647,0.017328935921565442,1.289727852638422,3.0000000000000147,0.0007784764814561757,0.0,0.05805842823117471,0.0
 0.44091958364870854,2.148866827472858,3.2900522860807664,0.01796817660116846,1.3227587509461258,2.999999999999995,0.000755011969490712,0.0,0.05772338792006209,0.0
 0.4517352744339942,2.1633488450948852,3.2900569854993056,0.018592494915990947,1.3552058233019828,3.0,0.0007324420411077933,0.0,0.05734670952131946,0.0
 0.46236931439599155,2.177929781366605,3.2900618722090758,0.019202322116729714,1.387107943187975,3.0000000000000053,0.0007107209033470884,0.0,0.0569334961921788,0.0
 0.47283327600722,2.192608666497334,3.290066944373889,0.019798072035277694,1.4184998280216603,2.9999999999999947,0.000689809356001161,0.0,0.056488248601027746,0.0
 0.48313754113666757,2.2073845306963893,3.2900722001575557,0.02038014192556083,1.4494126234100029,2.9999999999999947,0.0006696622526598468,0.0,0.056014947869677034,0.0
 0.4932914621560882,2.222256404173087,3.2900776377238885,0.020948913282136494,1.4798743864682649,3.0000000000000053,0.0006502473396890772,0.0,0.05551712053224022,0.0
 0.5033034962273442,2.237223317136745,3.290083255236698,0.021504752584443305,1.5099104886820327,3.0,0.0006315263129433229,0.0,0.05499789850233516,0.0
 0.513181318019953,2.252284299796679,3.2900890508597964,0.022048012024817362,1.5395439540598597,3.0000000000000338,0.0006134675038327401,0.0,0.054460065017139826,0.0
 0.5229319149368421,2.2674383823622057,3.290095022756994,0.022579030166867065,1.5687957448105267,2.9999999999999885,0.0005960527462221947,0.0,0.053906100198590934,0.0
 0.5325616680464456,2.2826845950426433,3.290101169092104,0.02309813260288104,1.5976850041393371,3.0,0.0005792377879479746,0.0,0.053338211519116024,0.0
 0.5420764212513275,2.298021968047306,3.290107488028936,0.02360563252187522,1.6262292637539828,2.9999999999999885,0.0005629981965737987,0.0,0.0527583720085322,0.0
